gene,CHR,BP
AT5G55170,5,55170
AT1G02450,1,2450
AT1G03290,1,3290
AT1G08450,1,8450
AT1G31010,1,31010
AT1G53710,1,53710
AT1G74440,1,74440
AT1G80850,1,80850
AT2G01650,2,1650
AT2G25260,2,25260
AT2G36680,2,36680
AT2G38500,2,38500
AT2G41180,2,41180
AT2G45790,2,45790
AT3G02710,3,2710
AT3G12220,3,12220
AT3G13560,3,13560
AT3G22950,3,22950
AT3G25882,3,25882
AT3G47050,3,47050
AT3G47830,3,47830
AT3G48080,3,48080
AT3G48750,3,48750
AT3G62370,3,62370
AT4G26120,4,26120
AT4G26940,4,26940
AT4G27270,4,27270
AT4G30640,4,30640
AT4G37690,4,37690
AT5G23850,5,23850
AT5G45370,5,45370
AT5G58220,5,58220
AT1G09210,1,9210
AT1G11840,1,11840
AT1G16560,1,16560
AT1G19690,1,19690
AT1G51790,1,51790
AT1G67520,1,67520
AT1G68470,1,68470
AT1G72280,1,72280
AT1G75510,1,75510
AT1G78550,1,78550
AT2G03980,2,3980
AT2G15860,2,15860
AT2G17120,2,17120
AT2G17790,2,17790
AT2G24860,2,24860
AT2G35810,2,35810
AT2G41090,2,41090
AT2G45070,2,45070
AT3G09790,3,9790
AT3G15355,3,15355
AT3G17700,3,17700
AT3G20420,3,20420
AT3G21630,3,21630
AT3G23120,3,23120
AT3G46540,3,46540
AT3G51890,3,51890
AT3G56710,3,56710
AT3G62780,3,62780
AT4G00290,4,290
AT4G14610,4,14610
AT4G19990,4,19990
AT4G22305,4,22305
AT4G23010,4,23010
AT4G23100,4,23100
AT4G25900,4,25900
AT4G26810,4,26810
AT4G31170,4,31170
AT5G04930,5,4930
AT5G05460,5,5460
AT5G07690,5,7690
AT5G07710,5,7710
AT5G08160,5,8160
AT5G12940,5,12940
AT5G45030,5,45030
AT5G57210,5,57210
AT5G65880,5,65880
AT1G05320,1,5320
AT1G17500,1,17500
AT1G17600,1,17600
AT1G17610,1,17610
AT1G17820,1,17820
AT1G21250,1,21250
AT1G25220,1,25220
AT1G29330,1,29330
AT1G35720,1,35720
AT1G46624,1,46624
AT1G52030,1,52030
AT1G59580,1,59580
AT1G72000,1,72000
AT2G03690,2,3690
AT2G19130,2,19130
AT2G24200,2,24200
AT2G27360,2,27360
AT2G29120,2,29120
AT2G33530,2,33530
AT2G40750,2,40750
AT2G44420,2,44420
AT3G09410,3,9410
AT3G13030,3,13030
AT3G14220,3,14220
AT3G25905,3,25905
AT3G26600,3,26600
AT3G55260,3,55260
AT3G57780,3,57780
AT4G02550,4,2550
AT4G03020,4,3020
AT4G04695,4,4695
AT4G04840,4,4840
AT4G14220,4,14220
AT4G17720,4,17720
AT4G23710,4,23710
AT4G25110,4,25110
AT4G39980,4,39980
AT5G08300,5,8300
AT5G25930,5,25930
AT5G35796,5,35796
AT5G53530,5,53530
AT1G02410,1,2410
AT1G06620,1,6620
AT1G14790,1,14790
AT1G17430,1,17430
AT1G24145,1,24145
AT1G27330,1,27330
AT1G31690,1,31690
AT1G34380,1,34380
AT1G47880,1,47880
AT1G49050,1,49050
AT1G54990,1,54990
AT1G56460,1,56460
AT1G56550,1,56550
AT1G64280,1,64280
AT1G68650,1,68650
AT1G73180,1,73180
AT2G17760,2,17760
AT2G21550,2,21550
AT2G21850,2,21850
AT2G25570,2,25570
AT2G26440,2,26440
AT2G28890,2,28890
AT2G37370,2,37370
AT2G37710,2,37710
AT2G37860,2,37860
AT2G37950,2,37950
AT2G39740,2,39740
AT2G41080,2,41080
AT2G41082,2,41082
AT3G01080,3,1080
AT3G05000,3,5000
AT3G05710,3,5710
AT3G13050,3,13050
AT3G15790,3,15790
AT3G15980,3,15980
AT3G16030,3,16030
AT3G16470,3,16470
AT3G22120,3,22120
AT3G48630,3,48630
AT3G49120,3,49120
AT3G53180,3,53180
AT3G54850,3,54850
AT3G56190,3,56190
AT3G56400,3,56400
AT3G59570,3,59570
AT4G00650,4,650
AT4G13494,4,13494
AT4G18630,4,18630
AT4G22670,4,22670
AT4G23320,4,23320
AT4G27560,4,27560
AT4G27660,4,27660
AT4G32205,4,32205
AT4G32870,4,32870
AT4G36090,4,36090
AT5G07220,5,7220
AT5G15360,5,15360
AT5G19930,5,19930
AT5G27037,5,27037
AT5G37480,5,37480
AT5G42650,5,42650
AT5G43100,5,43100
AT5G44820,5,44820
AT5G57580,5,57580
AT5G66610,5,66610
AT1G02120,1,2120
AT1G05180,1,5180
AT1G09050,1,9050
AT1G13470,1,13470
AT1G14010,1,14010
AT1G19580,1,19580
AT1G19670,1,19670
AT1G21900,1,21900
AT1G22180,1,22180
AT1G27960,1,27960
AT1G52410,1,52410
AT1G61250,1,61250
AT1G72180,1,72180
AT1G78380,1,78380
AT1G78570,1,78570
AT1G79210,1,79210
AT2G15042,2,15042
AT2G23010,2,23010
AT2G24360,2,24360
AT2G25520,2,25520
AT2G26970,2,26970
AT2G31230,2,31230
AT2G31870,2,31870
AT2G31955,2,31955
AT2G32520,2,32520
AT2G34810,2,34810
AT2G36360,2,36360
AT2G38290,2,38290
AT2G41470,2,41470
AT2G44060,2,44060
AT2G45510,2,45510
AT2G46535,2,46535
AT3G09020,3,9020
AT3G17120,3,17120
AT3G23100,3,23100
AT3G27230,3,27230
AT3G51010,3,51010
AT3G52115,3,52115
AT3G57030,3,57030
AT3G57480,3,57480
AT3G59760,3,59760
AT3G61440,3,61440
AT4G04490,4,4490
AT4G19660,4,19660
AT4G23230,4,23230
AT4G24190,4,24190
AT4G24330,4,24330
AT4G24830,4,24830
AT4G24940,4,24940
AT4G25940,4,25940
AT4G31300,4,31300
AT5G02620,5,2620
AT5G03350,5,3350
AT5G26000,5,26000
AT5G26170,5,26170
AT5G54860,5,54860
AT5G56660,5,56660
AT5G58790,5,58790
AT5G58940,5,58940
AT5G61010,5,61010
AT5G61610,5,61610
AT1G01200,1,1200
AT1G01660,1,1660
AT1G03370,1,3370
AT1G04200,1,4200
AT1G05170,1,5170
AT1G10630,1,10630
AT1G11330,1,11330
AT1G12630,1,12630
AT1G14360,1,14360
AT1G16670,1,16670
AT1G17890,1,17890
AT1G21210,1,21210
AT1G23120,1,23120
AT1G24070,1,24070
AT1G27930,1,27930
AT1G29040,1,29040
AT1G31820,1,31820
AT1G32320,1,32320
AT1G33420,1,33420
AT1G45145,1,45145
AT1G48170,1,48170
AT1G52730,1,52730
AT1G56330,1,56330
AT1G67190,1,67190
AT1G68370,1,68370
AT1G72010,1,72010
AT1G80290,1,80290
AT2G13790,2,13790
AT2G14720,2,14720
AT2G17442,2,17442
AT2G18330,2,18330
AT2G20140,2,20140
AT2G20370,2,20370
AT2G20420,2,20420
AT2G23610,2,23610
AT2G24180,2,24180
AT2G26560,2,26560
AT2G27600,2,27600
AT2G33590,2,33590
AT2G39420,2,39420
AT2G44180,2,44180
AT2G45030,2,45030
AT3G03000,3,3000
AT3G04380,3,4380
AT3G05230,3,5230
AT3G09010,3,9010
AT3G09380,3,9380
AT3G21810,3,21810
AT3G25760,3,25760
AT3G26320,3,26320
AT3G28450,3,28450
AT3G28670,3,28670
AT3G44450,3,44450
AT3G49390,3,49390
AT3G51330,3,51330
AT3G52850,3,52850
AT3G52880,3,52880
AT3G53170,3,53170
AT3G53780,3,53780
AT3G57100,3,57100
AT3G59520,3,59520
AT3G61280,3,61280
AT3G62600,3,62600
AT4G02420,4,2420
AT4G11260,4,11260
AT4G16265,4,16265
AT4G17470,4,17470
AT4G24350,4,24350
AT4G30260,4,30260
AT4G33100,4,33100
AT4G39990,4,39990
AT5G07910,5,7910
AT5G09260,5,9260
AT5G13280,5,13280
AT5G16170,5,16170
AT5G19670,5,19670
AT5G25470,5,25470
AT5G39450,5,39450
AT5G41880,5,41880
AT5G44390,5,44390
AT5G44568,5,44568
AT5G44940,5,44940
AT5G45470,5,45470
AT5G54148,5,54148
AT5G55420,5,55420
AT5G56610,5,56610
AT5G61540,5,61540
AT5G63410,5,63410
AT1G03230,1,3230
AT1G03495,1,3495
AT1G11630,1,11630
AT1G18890,1,18890
AT1G20780,1,20780
AT1G23170,1,23170
AT1G23840,1,23840
AT1G31220,1,31220
AT1G34750,1,34750
AT1G47278,1,47278
AT1G48605,1,48605
AT1G53330,1,53330
AT1G53920,1,53920
AT1G55260,1,55260
AT1G56423,1,56423
AT1G69380,1,69380
AT1G71140,1,71140
AT1G71350,1,71350
AT1G72120,1,72120
AT1G72480,1,72480
AT1G73805,1,73805
AT1G74690,1,74690
AT1G75010,1,75010
AT1G75040,1,75040
AT1G76030,1,76030
AT1G76620,1,76620
AT1G76955,1,76955
AT2G02800,2,2800
AT2G03220,2,3220
AT2G14560,2,14560
AT2G14740,2,14740
AT2G18660,2,18660
AT2G20110,2,20110
AT2G20760,2,20760
AT2G22010,2,22010
AT2G31020,2,31020
AT2G32380,2,32380
AT2G35700,2,35700
AT2G38650,2,38650
AT2G39210,2,39210
AT2G43530,2,43530
AT2G46370,2,46370
AT3G05830,3,5830
AT3G06035,3,6035
AT3G06300,3,6300
AT3G07060,3,7060
AT3G09385,3,9385
AT3G09810,3,9810
AT3G11320,3,11320
AT3G11840,3,11840
AT3G15710,3,15710
AT3G18370,3,18370
AT3G20390,3,20390
AT3G20790,3,20790
AT3G21465,3,21465
AT3G26210,3,26210
AT3G28940,3,28940
AT3G42790,3,42790
AT3G43400,3,43400
AT3G54170,3,54170
AT3G54950,3,54950
AT3G57050,3,57050
AT3G60470,3,60470
AT4G04500,4,4500
AT4G04510,4,4510
AT4G07950,4,7950
AT4G11850,4,11850
AT4G13950,4,13950
AT4G16700,4,16700
AT4G21380,4,21380
AT4G23180,4,23180
AT4G26060,4,26060
AT4G28490,4,28490
AT4G28550,4,28550
AT4G28710,4,28710
AT4G39820,4,39820
AT4G39830,4,39830
AT5G01850,5,1850
AT5G02680,5,2680
AT5G07760,5,7760
AT5G07770,5,7770
AT5G08380,5,8380
AT5G08660,5,8660
AT5G10330,5,10330
AT5G10760,5,10760
AT5G10810,5,10810
AT5G12890,5,12890
AT5G20080,5,20080
AT5G22580,5,22580
AT5G27430,5,27430
AT5G38340,5,38340
AT5G42860,5,42860
AT5G43940,5,43940
AT5G45250,5,45250
AT5G47630,5,47630
AT5G50200,5,50200
AT5G54610,5,54610
AT5G55450,5,55450
AT5G55860,5,55860
AT5G60900,5,60900
AT5G61250,5,61250
AT5G62070,5,62070
AT5G64490,5,64490
AT5G67230,5,67230
AT1G05010,1,5010
AT1G05220,1,5220
AT1G14140,1,14140
AT1G15400,1,15400
AT1G19570,1,19570
AT1G19960,1,19960
AT1G21230,1,21230
AT1G24020,1,24020
AT1G26100,1,26100
AT1G26130,1,26130
AT1G30740,1,30740
AT1G34844,1,34844
AT1G35380,1,35380
AT1G52000,1,52000
AT1G52780,1,52780
AT1G54440,1,54440
AT1G59960,1,59960
AT1G61790,1,61790
AT1G63000,1,63000
AT1G65500,1,65500
AT1G66880,1,66880
AT1G67010,1,67010
AT1G68100,1,68100
AT1G68710,1,68710
AT1G69730,1,69730
AT1G74280,1,74280
AT1G75130,1,75130
AT1G77440,1,77440
AT1G77660,1,77660
AT2G03470,2,3470
AT2G04080,2,4080
AT2G15100,2,15100
AT2G22900,2,22900
AT2G25110,2,25110
AT2G25190,2,25190
AT2G36330,2,36330
AT2G38960,2,38960
AT2G46610,2,46610
AT2G47640,2,47640
AT2G47690,2,47690
AT3G01450,3,1450
AT3G02770,3,2770
AT3G04480,3,4480
AT3G07570,3,7570
AT3G07800,3,7800
AT3G10280,3,10280
AT3G14620,3,14620
AT3G14890,3,14890
AT3G15390,3,15390
AT3G21780,3,21780
AT3G22942,3,22942
AT3G27890,3,27890
AT3G42836,3,42836
AT3G45140,3,45140
AT3G47480,3,47480
AT3G47540,3,47540
AT3G48090,3,48090
AT3G48350,3,48350
AT3G48490,3,48490
AT3G49370,3,49370
AT3G49725,3,49725
AT3G53270,3,53270
AT3G56440,3,56440
AT3G57420,3,57420
AT3G59090,3,59090
AT3G59500,3,59500
AT3G59530,3,59530
AT3G63420,3,63420
AT4G02520,4,2520
AT4G09570,4,9570
AT4G11911,4,11911
AT4G13493,4,13493
AT4G15280,4,15280
AT4G15920,4,15920
AT4G18440,4,18440
AT4G18890,4,18890
AT4G23150,4,23150
AT4G27220,4,27220
AT4G35310,4,35310
AT4G36240,4,36240
AT4G36280,4,36280
AT4G39030,4,39030
AT5G02502,5,2502
AT5G04020,5,4020
AT5G10560,5,10560
AT5G11190,5,11190
AT5G11242,5,11242
AT5G15740,5,15740
AT5G16060,5,16060
AT5G16550,5,16550
AT5G18490,5,18490
AT5G18780,5,18780
AT5G19250,5,19250
AT5G20050,5,20050
AT5G20170,5,20170
AT5G23535,5,23535
AT5G25640,5,25640
AT5G26690,5,26690
AT5G32481,5,32481
AT5G37070,5,37070
AT5G38630,5,38630
AT5G38990,5,38990
AT5G42440,5,42440
AT5G45100,5,45100
AT5G46050,5,46050
AT5G46870,5,46870
AT5G47140,5,47140
AT5G48380,5,48380
AT5G49680,5,49680
AT5G52410,5,52410
AT5G54970,5,54970
AT5G56260,5,56260
AT5G57035,5,57035
AT5G57970,5,57970
AT5G60610,5,60610
AT5G60980,5,60980
AT5G61190,5,61190
AT5G61790,5,61790
AT5G62610,5,62610
AT5G63010,5,63010
AT5G64667,5,64667
AT1G01680,1,1680
AT1G01920,1,1920
AT1G03400,1,3400
AT1G06130,1,6130
AT1G10417,1,10417
AT1G12290,1,12290
AT1G12990,1,12990
AT1G13110,1,13110
AT1G13810,1,13810
AT1G19130,1,19130
AT1G19940,1,19940
AT1G20770,1,20770
AT1G20816,1,20816
AT1G21270,1,21270
AT1G24148,1,24148
AT1G25422,1,25422
AT1G26690,1,26690
AT1G26840,1,26840
AT1G30640,1,30640
AT1G30755,1,30755
AT1G34190,1,34190
AT1G51620,1,51620
AT1G51760,1,51760
AT1G54160,1,54160
AT1G54320,1,54320
AT1G55120,1,55120
AT1G56440,1,56440
AT1G59620,1,59620
AT1G62730,1,62730
AT1G63960,1,63960
AT1G66980,1,66980
AT1G71040,1,71040
AT1G71390,1,71390
AT1G71696,1,71696
AT1G72740,1,72740
AT1G75680,1,75680
AT1G75770,1,75770
AT1G76040,1,76040
AT1G76970,1,76970
AT1G78850,1,78850
AT1G79260,1,79260
AT1G79520,1,79520
AT1G79690,1,79690
AT2G02850,2,2850
AT2G03410,2,3410
AT2G07690,2,7690
AT2G17220,2,17220
AT2G17720,2,17720
AT2G20930,2,20930
AT2G21830,2,21830
AT2G22170,2,22170
AT2G24970,2,24970
AT2G30060,2,30060
AT2G30870,2,30870
AT2G31990,2,31990
AT2G32400,2,32400
AT2G32680,2,32680
AT2G36780,2,36780
AT2G39270,2,39270
AT2G41070,2,41070
AT2G41835,2,41835
AT2G42950,2,42950
AT2G44290,2,44290
AT2G44383,2,44383
AT2G46170,2,46170
AT2G46940,2,46940
AT3G01640,3,1640
AT3G02510,3,2510
AT3G07370,3,7370
AT3G08870,3,8870
AT3G11402,3,11402
AT3G13100,3,13100
AT3G13330,3,13330
AT3G16250,3,16250
AT3G22231,3,22231
AT3G23010,3,23010
AT3G24255,3,24255
AT3G24780,3,24780
AT3G25070,3,25070
AT3G25180,3,25180
AT3G25530,3,25530
AT3G25890,3,25890
AT3G26090,3,26090
AT3G26720,3,26720
AT3G29400,3,29400
AT3G30120,3,30120
AT3G44713,3,44713
AT3G47090,3,47090
AT3G48890,3,48890
AT3G54990,3,54990
AT3G56030,3,56030
AT3G57240,3,57240
AT3G58640,3,58640
AT3G58940,3,58940
AT3G59310,3,59310
AT3G60410,3,60410
AT3G61630,3,61630
AT3G62725,3,62725
AT4G00850,4,850
AT4G01440,4,1440
AT4G03200,4,3200
AT4G03450,4,3450
AT4G04570,4,4570
AT4G09770,4,9770
AT4G11690,4,11690
AT4G16750,4,16750
AT4G17270,4,17270
AT4G17570,4,17570
AT4G17830,4,17830
AT4G19180,4,19180
AT4G21192,4,21192
AT4G22690,4,22690
AT4G23130,4,23130
AT4G25030,4,25030
AT4G28485,4,28485
AT4G30060,4,30060
AT4G30330,4,30330
AT4G34570,4,34570
AT4G36660,4,36660
AT5G02290,5,2290
AT5G03160,5,3160
AT5G04830,5,4830
AT5G09890,5,9890
AT5G14860,5,14860
AT5G16880,5,16880
AT5G17060,5,17060
AT5G18500,5,18500
AT5G19980,5,19980
AT5G21090,5,21090
AT5G24230,5,24230
AT5G25440,5,25440
AT5G25451,5,25451
AT5G27680,5,27680
AT5G35760,5,35760
AT5G38100,5,38100
AT5G40660,5,40660
AT5G41460,5,41460
AT5G42540,5,42540
AT5G44306,5,44306
AT5G46630,5,46630
AT5G53550,5,53550
AT5G53950,5,53950
AT5G54390,5,54390
AT5G54810,5,54810
AT5G55100,5,55100
AT5G58380,5,58380
AT5G60800,5,60800
AT5G60940,5,60940
AT5G61810,5,61810
AT5G63890,5,63890
AT5G64810,5,64810
AT5G66420,5,66420
AT1G01670,1,1670
AT1G05210,1,5210
AT1G05630,1,5630
AT1G05720,1,5720
AT1G07000,1,7000
AT1G09480,1,9480
AT1G12210,1,12210
AT1G12380,1,12380
AT1G12840,1,12840
AT1G13000,1,13000
AT1G13100,1,13100
AT1G14670,1,14670
AT1G15390,1,15390
AT1G17270,1,17270
AT1G17590,1,17590
AT1G18540,1,18540
AT1G19240,1,19240
AT1G20430,1,20430
AT1G20490,1,20490
AT1G21380,1,21380
AT1G22200,1,22200
AT1G22280,1,22280
AT1G22540,1,22540
AT1G27130,1,27130
AT1G27700,1,27700
AT1G30530,1,30530
AT1G31230,1,31230
AT1G33540,1,33540
AT1G35360,1,35360
AT1G44790,1,44790
AT1G47890,1,47890
AT1G54030,1,54030
AT1G56120,1,56120
AT1G60460,1,60460
AT1G60790,1,60790
AT1G60890,1,60890
AT1G63740,1,63740
AT1G64580,1,64580
AT1G65250,1,65250
AT1G65360,1,65360
AT1G65484,1,65484
AT1G68760,1,68760
AT1G70010,1,70010
AT1G74650,1,74650
AT1G75150,1,75150
AT1G77420,1,77420
AT1G78890,1,78890
AT1G79150,1,79150
AT2G02810,2,2810
AT2G04430,2,4430
AT2G04450,2,4450
AT2G06860,2,6860
AT2G16380,2,16380
AT2G17200,2,17200
AT2G18030,2,18030
AT2G18350,2,18350
AT2G20790,2,20790
AT2G21520,2,21520
AT2G24160,2,24160
AT2G26160,2,26160
AT2G26260,2,26260
AT2G27590,2,27590
AT2G28590,2,28590
AT2G28940,2,28940
AT2G29720,2,29720
AT2G30250,2,30250
AT2G30860,2,30860
AT2G35450,2,35450
AT2G37500,2,37500
AT2G37790,2,37790
AT2G38750,2,38750
AT2G38860,2,38860
AT2G38970,2,38970
AT2G39090,2,39090
AT2G41770,2,41770
AT2G42650,2,42650
AT2G42690,2,42690
AT2G43040,2,43040
AT2G46650,2,46650
AT2G47180,2,47180
AT3G09735,3,9735
AT3G09830,3,9830
AT3G13080,3,13080
AT3G18170,3,18170
AT3G19010,3,19010
AT3G21865,3,21865
AT3G22370,3,22370
AT3G24503,3,24503
AT3G28540,3,28540
AT3G28925,3,28925
AT3G47570,3,47570
AT3G48550,3,48550
AT3G49400,3,49400
AT3G49500,3,49500
AT3G50470,3,50470
AT3G51430,3,51430
AT3G51440,3,51440
AT3G51450,3,51450
AT3G55130,3,55130
AT3G59190,3,59190
AT3G60420,3,60420
AT3G60440,3,60440
AT3G60660,3,60660
AT3G61860,3,61860
AT3G62050,3,62050
AT4G03420,4,3420
AT4G09000,4,9000
AT4G11700,4,11700
AT4G11890,4,11890
AT4G12880,4,12880
AT4G16990,4,16990
AT4G17480,4,17480
AT4G23170,4,23170
AT4G23250,4,23250
AT4G23650,4,23650
AT4G29550,4,29550
AT4G30020,4,30020
AT4G30530,4,30530
AT4G32915,4,32915
AT4G34380,4,34380
AT4G35590,4,35590
AT4G36970,4,36970
AT4G37190,4,37190
AT5G07360,5,7360
AT5G07660,5,7660
AT5G08330,5,8330
AT5G09290,5,9290
AT5G10070,5,10070
AT5G10440,5,10440
AT5G11030,5,11030
AT5G11810,5,11810
AT5G13140,5,13140
AT5G18170,5,18170
AT5G19690,5,19690
AT5G21280,5,21280
AT5G22120,5,22120
AT5G22570,5,22570
AT5G22790,5,22790
AT5G23510,5,23510
AT5G25250,5,25250
AT5G26667,5,26667
AT5G27060,5,27060
AT5G32621,5,32621
AT5G36220,5,36220
AT5G37360,5,37360
AT5G37850,5,37850
AT5G38250,5,38250
AT5G39950,5,39950
AT5G40080,5,40080
AT5G40850,5,40850
AT5G40942,5,40942
AT5G41120,5,41120
AT5G43240,5,43240
AT5G48440,5,48440
AT5G51290,5,51290
AT5G55130,5,55130
AT5G55990,5,55990
AT5G57570,5,57570
AT5G59470,5,59470
AT5G59670,5,59670
AT5G60142,5,60142
AT5G60285,5,60285
AT5G61000,5,61000
AT5G61120,5,61120
AT5G61210,5,61210
AT5G61290,5,61290
AT5G63910,5,63910
AT5G63980,5,63980
AT5G66150,5,66150
AT5G67070,5,67070
AT5G67180,5,67180
AT5G67340,5,67340
AT5G67410,5,67410
AT1G01340,1,1340
AT1G03860,1,3860
AT1G03900,1,3900
AT1G04980,1,4980
AT1G05350,1,5350
AT1G05640,1,5640
AT1G06000,1,6000
AT1G06050,1,6050
AT1G07620,1,7620
AT1G09330,1,9330
AT1G12750,1,12750
AT1G14880,1,14880
AT1G17350,1,17350
AT1G18360,1,18360
AT1G18990,1,18990
AT1G19390,1,19390
AT1G21370,1,21370
AT1G21520,1,21520
AT1G21590,1,21590
AT1G22070,1,22070
AT1G22080,1,22080
AT1G24147,1,24147
AT1G26550,1,26550
AT1G26570,1,26570
AT1G26740,1,26740
AT1G29715,1,29715
AT1G30000,1,30000
AT1G30580,1,30580
AT1G30620,1,30620
AT1G31170,1,31170
AT1G34130,1,34130
AT1G37180,1,37180
AT1G42350,1,42350
AT1G48440,1,48440
AT1G49750,1,49750
AT1G50440,1,50440
AT1G51480,1,51480
AT1G54850,1,54850
AT1G55210,1,55210
AT1G55840,1,55840
AT1G58225,1,58225
AT1G58390,1,58390
AT1G59870,1,59870
AT1G62422,1,62422
AT1G62560,1,62560
AT1G64090,1,64090
AT1G66960,1,66960
AT1G67000,1,67000
AT1G67460,1,67460
AT1G69080,1,69080
AT1G70520,1,70520
AT1G73490,1,73490
AT1G74750,1,74750
AT1G76670,1,76670
AT1G78660,1,78660
AT1G78900,1,78900
AT1G79460,1,79460
AT2G01029,2,1029
AT2G03530,2,3530
AT2G07340,2,7340
AT2G14520,2,14520
AT2G15040,2,15040
AT2G15080,2,15080
AT2G15390,2,15390
AT2G19520,2,19520
AT2G19980,2,19980
AT2G20770,2,20770
AT2G21160,2,21160
AT2G21840,2,21840
AT2G22120,2,22120
AT2G24170,2,24170
AT2G26240,2,26240
AT2G27020,2,27020
AT2G30550,2,30550
AT2G30720,2,30720
AT2G31200,2,31200
AT2G31240,2,31240
AT2G33020,2,33020
AT2G33550,2,33550
AT2G33847,2,33847
AT2G34280,2,34280
AT2G34580,2,34580
AT2G35020,2,35020
AT2G35520,2,35520
AT2G37960,2,37960
AT2G39960,2,39960
AT2G40840,2,40840
AT2G40955,2,40955
AT2G41178,2,41178
AT2G43550,2,43550
AT2G47760,2,47760
AT3G03490,3,3490
AT3G03560,3,3560
AT3G12290,3,12290
AT3G13870,3,13870
AT3G14470,3,14470
AT3G15160,3,15160
AT3G16270,3,16270
AT3G16530,3,16530
AT3G19290,3,19290
AT3G19710,3,19710
AT3G22400,3,22400
AT3G23780,3,23780
AT3G23810,3,23810
AT3G24180,3,24180
AT3G24770,3,24770
AT3G25610,3,25610
AT3G44870,3,44870
AT3G50280,3,50280
AT3G51340,3,51340
AT3G52105,3,52105
AT3G52430,3,52430
AT3G55820,3,55820
AT3G55950,3,55950
AT3G56260,3,56260
AT3G57260,3,57260
AT3G57340,3,57340
AT3G59180,3,59180
AT3G60540,3,60540
AT3G60810,3,60810
AT3G62810,3,62810
AT4G00570,4,570
AT4G01260,4,1260
AT4G01350,4,1350
AT4G02405,4,2405
AT4G02890,4,2890
AT4G11900,4,11900
AT4G12310,4,12310
AT4G15260,4,15260
AT4G15520,4,15520
AT4G16807,4,16807
AT4G18040,4,18040
AT4G18770,4,18770
AT4G20040,4,20040
AT4G21950,4,21950
AT4G23140,4,23140
AT4G26550,4,26550
AT4G27300,4,27300
AT4G28540,4,28540
AT4G28600,4,28600
AT4G32800,4,32800
AT4G35070,4,35070
AT4G36150,4,36150
AT4G36670,4,36670
AT4G38550,4,38550
AT4G39690,4,39690
AT4G39730,4,39730
AT4G39940,4,39940
AT5G03270,5,3270
AT5G04590,5,4590
AT5G06750,5,6750
AT5G07130,5,7130
AT5G08260,5,8260
AT5G12480,5,12480
AT5G12930,5,12930
AT5G13320,5,13320
AT5G14490,5,14490
AT5G19160,5,19160
AT5G20950,5,20950
AT5G22060,5,22060
AT5G22550,5,22550
AT5G22560,5,22560
AT5G24780,5,24780
AT5G36120,5,36120
AT5G39040,5,39040
AT5G40780,5,40780
AT5G41180,5,41180
AT5G41600,5,41600
AT5G42020,5,42020
AT5G43730,5,43730
AT5G44569,5,44569
AT5G45550,5,45550
AT5G46760,5,46760
AT5G47730,5,47730
AT5G48580,5,48580
AT5G48657,5,48657
AT5G49900,5,49900
AT5G52320,5,52320
AT5G54400,5,54400
AT5G55400,5,55400
AT5G56250,5,56250
AT5G56900,5,56900
AT5G58710,5,58710
AT5G59580,5,59580
AT5G61060,5,61060
AT5G61090,5,61090
AT5G66620,5,66620
AT1G01560,1,1560
AT1G02230,1,2230
AT1G03210,1,3210
AT1G04010,1,4010
AT1G05500,1,5500
AT1G07700,1,7700
AT1G10700,1,10700
AT1G10990,1,10990
AT1G11350,1,11350
