"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT4G01535",8357,0.46,"hypothetical protein(AT4G01535)","AT4G01535"
"AT4G01915",9550,0.46,"hypothetical protein(AT4G01915)","AT4G01915"
"AT4G22950",9598,0.46,"AGAMOUS-like 19(AGL19)","AGL19"
"AT1G35625",9584,0.45,"RING/U-box superfamily protein(AT1G35625)","AT1G35625"
"AT1G69325",9550,0.45,"Remorin family protein(AT1G69325)","AT1G69325"
"AT1G71015",9524,0.45,"plastid movement impaired protein(AT1G71015)","AT1G71015"
"AT1G71020",9526,0.45,"ARM repeat superfamily protein(AT1G71020)","AT1G71020"
"AT2G41630",8357,0.45,"transcription factor IIB(TFIIB)","TFIIB"
"AT3G18200",9518,0.45,"nodulin MtN21 /EamA-like transporter family protein(UMAMIT4)","UMAMIT4"
"AT3G22320",9587,0.45,"Eukaryotic rpb5 RNA polymerase subunit family protein(NRPB5)","NRPB5"
"AT3G51290",9567,0.45,"pyridoxal-phosphate-dependent serine hydroxymethyltransferase, putative (DUF632)(AT3G51290)","AT3G51290"
"AT5G49360",9543,0.45,"beta-xylosidase 1(BXL1)","BXL1"
"AT1G34030",9560,0.44,"Ribosomal protein S13/S18 family(AT1G34030)","AT1G34030"
"AT2G41550",9874,0.44,"Rho termination factor(AT2G41550)","AT2G41550"
"AT3G27770",9586,0.44,"plant/protein(AT3G27770)","AT3G27770"
"AT3G56680",9567,0.44,"Single-stranded nucleic acid binding R3H protein(AT3G56680)","AT3G56680"
"AT5G16350",9844,0.44,"O-acyltransferase (WSD1-like) family protein(AT5G16350)","AT5G16350"
"AT5G16830",9524,0.44,"syntaxin of plants 21(SYP21)","SYP21"
"AT5G44040",9874,0.44,"eisosome SEG2-like protein(AT5G44040)","AT5G44040"
"AT5G66470",9522,0.44,"GTP-binding protein Era-like protein(AT5G66470)","AT5G66470"
"AT1G13245",9598,0.43,"ROTUNDIFOLIA like 17(RTFL17)","RTFL17"
"AT1G23410",9518,0.43,"Ribosomal protein S27a / Ubiquitin family protein(AT1G23410)","AT1G23410"
"AT1G29180",9550,0.43,"Cysteine/Histidine-rich C1 domain family protein(AT1G29180)","AT1G29180"
"AT1G36390",9584,0.43,"Co-chaperone GrpE family protein(AT1G36390)","CGE2"
"AT1G53250",9584,0.43,"histone-lysine N-methyltransferase, H3 lysine-79 specific-like protein(AT1G53250)","AT1G53250"
"AT1G55490",9586,0.43,"chaperonin 60 beta(CPN60B)","CPN60B"
"AT3G06640",9905,0.43,"PAS domain-containing protein tyrosine kinase family protein(AT3G06640)","AT3G06640"
"AT3G48100",9547,0.43,"response regulator 5(RR5)","RR5"
"AT4G35770",9526,0.43,"Rhodanese/Cell cycle control phosphatase superfamily protein(SEN1)","SEN1"
"ATCG00470",9526,0.43,"ATPE","ATPE"
"AT1G01620",9845,0.42,"plasma membrane intrinsic protein 1C(PIP1C)","PIP1C"
"AT1G07840",9845,0.42,"Sas10/Utp3/C1D family(AT1G07840)","AT1G07840"
"AT1G11400",9547,0.42,"partner of Y14-MAGO(PYM)","PYM"
"AT1G19990",9518,0.42,"nucleolin(AT1G19990)","AT1G19990"
"AT1G20065",9547,0.42,"DNA-directed RNA polymerase I subunit RPA12-like protein(AT1G20065)","AT1G20065"
"AT1G29220",9567,0.42,"transcriptional regulator family protein(AT1G29220)","AT1G29220"
"AT1G30820",9855,0.42,"CTP synthase family protein(AT1G30820)","AT1G30820"
"AT1G33040",9531,0.42,"nascent polypeptide-associated complex subunit alpha-like protein 5(NACA5)","NACA5"
"AT1G63980",9905,0.42,"D111/G-patch domain-containing protein(AT1G63980)","AT1G63980"
"AT1G65660",9944,0.42,"Pre-mRNA splicing Prp18-interacting factor(SMP1)","SMP1"
"AT1G68020",9593,0.42,"UDP-Glycosyltransferase / trehalose-phosphatase family protein(ATTPS6)","ATTPS6"
"AT2G42850",9586,0.42,"cytochrome P450, family 718(CYP718)","CYP718"
"AT2G47620",9587,0.42,"SWITCH/sucrose nonfermenting 3A(SWI3A)","SWI3A"
"AT3G14560",9844,0.42,"hypothetical protein(AT3G14560)","AT3G14560"
"AT3G56660",9560,0.42,"basic region/leucine zipper motif protein 49(BZIP49)","BZIP49"
"AT4G26760",9586,0.42,"microtubule-associated protein 65-2(MAP65-2)","MAP65-2"
"AT4G35540",9593,0.42,"POLLEN-EXPRESSED TRANSCRIPTION FACTOR 2(AT4G35540)","AT4G35540"
"AT5G07080",9587,0.42,"HXXXD-type acyl-transferase family protein(AT5G07080)","AT5G07080"
"AT5G09840",9524,0.42,"Putative endonuclease or glycosyl hydrolase(AT5G09840)","AT5G09840"
"AT5G59850",9601,0.42,"Ribosomal protein S8 family protein(AT5G59850)","AT5G59850"
"AT1G09760",9557,0.41,"U2 small nuclear ribonucleoprotein A(U2A')","U2A'"
"AT1G14290",9819,0.41,"sphingoid base hydroxylase 2(SBH2)","SBH2"
"AT1G64880",9844,0.41,"Ribosomal protein S5 family protein(AT1G64880)","AT1G64880"
"AT1G65710",9524,0.41,"serine/arginine repetitive matrix-like protein(AT1G65710)","AT1G65710"
"AT1G68870",9526,0.41,"SOB five-like 2(SOFL2)","SOFL2"
"AT1G71720",9832,0.41,"Nucleic acid-binding proteins superfamily(PDE338)","PDE338"
"AT2G18280",9588,0.41,"tubby like protein 2(TLP2)","TLP2"
"AT2G24060",9844,0.41,"Translation initiation factor 3 protein(AT2G24060)","AT2G24060"
"AT2G27530",9557,0.41,"Ribosomal protein L1p/L10e family(PGY1)","PGY1"
"AT2G30280",9550,0.41,"RNA-directed DNA methylation 4(RDM4)","RDM4"
"AT2G31250",9531,0.41,"Glutamyl-tRNA reductase family protein(HEMA3)","HEMA3"
"AT3G09380",9845,0.41,"MIP18 family protein(AT3G09380)","AT3G09380"
"AT3G16490",9598,0.41,"IQ-domain 26(IQD26)","IQD26"
"AT3G17830",9522,0.41,"Molecular chaperone Hsp40/DnaJ family protein(AT3G17830)","AT3G17830"
"AT3G19420",9598,0.41,"PTEN 2(PEN2)","PEN2"
"AT3G26818",9825,0.41,"ncRNA(MIR169m)","MIR169m"
"AT3G29690",9568,0.41,"HXXXD-type acyl-transferase family protein(AT3G29690)","AT3G29690"
"AT3G30180",9905,0.41,"brassinosteroid-6-oxidase 2(BR6OX2)","BR6OX2"
"AT3G49330",9871,0.41,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT3G49330)","AT3G49330"
"AT3G62620",9587,0.41,"sucrose-phosphatase-like protein(AT3G62620)","AT3G62620"
"AT4G24940",9543,0.41,"SUMO-activating enzyme 1A(SAE1A)","SAE1A"
"AT4G25120",9825,0.41,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(SRS2)","SRS2"
"AT4G26140",9845,0.41,"beta-galactosidase 12(BGAL12)","BGAL12"
"AT4G31290",9522,0.41,"ChaC-like family protein(AT4G31290)","AT4G31290"
"AT4G31820",9845,0.41,"Phototropic-responsive NPH3 family protein(ENP)","ENP"
"AT4G33740",9588,0.41,"myb-like protein X(AT4G33740)","AT4G33740"
"AT4G39470",6970,0.41,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G39470)","AT4G39470"
"AT5G05080",9845,0.41,"ubiquitin-conjugating enzyme 22(UBC22)","UBC22"
"AT5G11170",9533,0.41,"DEAD/DEAH box RNA helicase family protein(UAP56a)","UAP56a"
"AT5G13570",9880,0.41,"decapping 2(DCP2)","DCP2"
"AT5G41020",9550,0.41,"myb family transcription factor(AT5G41020)","AT5G41020"
"AT5G43700",9844,0.41,"AUX/IAA transcriptional regulator family protein(ATAUX2-11)","ATAUX2-11"
"AT5G55350",9846,0.41,"MBOAT (membrane bound O-acyl transferase) family protein(AT5G55350)","AT5G55350"
"AT1G12530",9593,0.4,"hypothetical protein(AT1G12530)","AT1G12530"
"AT1G15002",9905,0.4,"ncRNA(AT1G15002)","AT1G15002"
"AT1G33055",9543,0.4,"hypothetical protein(AT1G33055)","AT1G33055"
"AT1G53542",9557,0.4,"hypothetical protein(AT1G53542)","AT1G53542"
"AT1G73510",9880,0.4,"hypothetical protein(AT1G73510)","AT1G73510"
"AT2G03810",9560,0.4,"18S pre-ribosomal assembly protein gar2-like protein(AT2G03810)","AT2G03810"
"AT2G21385",9522,0.4,"hypothetical protein(AT2G21385)","AT2G21385"
"AT2G30530",8357,0.4,"zinc finger CCCH domain protein(AT2G30530)","AT2G30530"
"AT2G42060",9547,0.4,"Cysteine/Histidine-rich C1 domain family protein(AT2G42060)","AT2G42060"
"AT3G10340",9601,0.4,"phenylalanine ammonia-lyase 4(PAL4)","PAL4"
"AT3G16320",9518,0.4,"Tetratricopeptide repeat (TPR)-like superfamily protein(CDC27a)","CDC27a"
"AT3G21480",9588,0.4,"BRCT domain-containing DNA repair protein(AT3G21480)","AT3G21480"
"AT3G47600",9832,0.4,"myb domain protein 94(MYB94)","MYB94"
"AT3G49880",9587,0.4,"glycosyl hydrolase family protein 43(AT3G49880)","AT3G49880"
"AT3G51570",9550,0.4,"Disease resistance protein (TIR-NBS-LRR class) family(AT3G51570)","AT3G51570"
"AT4G00755",9587,0.4,"F-box family protein(AT4G00755)","AT4G00755"
"AT4G00830",9832,0.4,"RNA-binding (RRM/RBD/RNP motifs) family protein(LIF2)","LIF2"
"AT4G10170",9905,0.4,"SNARE-like superfamily protein(AT4G10170)","AT4G10170"
"AT4G12690",9584,0.4,"DUF868 family protein (DUF868)(AT4G12690)","AT4G12690"
"AT4G20210",9533,0.4,"Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT4G20210)","TPS08"
"AT4G32120",9598,0.4,"Galactosyltransferase family protein(AT4G32120)","AT4G32120"
"AT4G39050",9832,0.4,"Kinesin motor family protein(AT4G39050)","AT4G39050"
"AT5G02244",9832,0.4,"miscRNA(AT5G02244)","AT5G02244"
"AT5G02400",9526,0.4,"pol-like 2(PLL2)","PLL2"
"AT5G03860",9584,0.4,"malate synthase(MLS)","MLS"
"AT5G07090",9588,0.4,"Ribosomal protein S4 (RPS4A) family protein(AT5G07090)","AT5G07090"
"AT5G07380",9557,0.4,"hypothetical protein(AT5G07380)","AT5G07380"
"AT5G10900",9584,0.4,"Calcineurin-like metallo-phosphoesterase superfamily protein(AT5G10900)","AT5G10900"
"AT5G16130",9522,0.4,"Ribosomal protein S7e family protein(AT5G16130)","AT5G16130"
"AT5G28850",9533,0.4,"Calcium-binding EF-hand family protein(AT5G28850)","AT5G28850"
"AT5G35750",9944,0.4,"histidine kinase 2(HK2)","HK2"
"AT5G38970",9533,0.4,"brassinosteroid-6-oxidase 1(BR6OX1)","BR6OX1"
"ATCG01020",9547,0.4,"RPL32","RPL32"
"AT1G02190",9584,0.39,"Fatty acid hydroxylase superfamily(AT1G02190)","AT1G02190"
"AT1G02650",9832,0.39,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02650)","AT1G02650"
"AT1G10840",9601,0.39,"translation initiation factor 3 subunit H1(TIF3H1)","TIF3H1"
"AT1G13480",9550,0.39,"hypothetical protein (DUF1262)(AT1G13480)","AT1G13480"
"AT1G23870",9905,0.39,"trehalose-phosphatase/synthase 9(TPS9)","TPS9"
"AT1G24120",9593,0.39,"ARG1-like 1(ARL1)","ARL1"
"AT1G30730",9598,0.39,"FAD-binding Berberine family protein(AT1G30730)","AT1G30730"
"AT1G52827",9547,0.39,"cadmium tolerance 1(CDT1)","CDT1"
"AT1G57660",9543,0.39,"Translation protein SH3-like family protein(AT1G57660)","AT1G57660"
"AT1G63140",9825,0.39,"O-methyltransferase family protein(AT1G63140)","AT1G63140"
"AT1G69040",9598,0.39,"ACT domain repeat 4(ACR4)","ACR4"
"AT1G72410",9819,0.39,"COP1-interacting protein-like protein(AT1G72410)","AT1G72410"
"AT1G73230",9518,0.39,"Nascent polypeptide-associated complex NAC(AT1G73230)","AT1G73230"
"AT1G76770",9550,0.39,"HSP20-like chaperones superfamily protein(AT1G76770)","AT1G76770"
"AT2G01890",9871,0.39,"purple acid phosphatase 8(PAP8)","PAP8"
"AT2G03780",9550,0.39,"Translin family protein(AT2G03780)","AT2G03780"
"AT2G17036",6970,0.39,"F-box SKIP23-like protein (DUF295)(AT2G17036)","AT2G17036"
"AT2G24690",9593,0.39,"Transcriptional factor B3 family protein(AT2G24690)","AT2G24690"
"AT2G26330",9944,0.39,"Leucine-rich receptor-like protein kinase family protein(ER)","ERECTA"
"AT2G37070",9819,0.39,"TRIO/F-actin-binding protein(AT2G37070)","AT2G37070"
"AT2G40710",9543,0.39,"hemolysin-III related integral membrane protein(AT2G40710)","AT2G40710"
"AT2G41130",9601,0.39,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G41130)","AT2G41130"
"AT2G42290",9880,0.39,"Leucine-rich repeat protein kinase family protein(AT2G42290)","AT2G42290"
"AT2G45170",9557,0.39,"AUTOPHAGY 8E(ATG8E)","ATG8E"
"AT3G06820",9586,0.39,"Mov34/MPN/PAD-1 family protein(BRCC36B)","BRCC36B"
"AT3G10845",9526,0.39,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G10845)","AT3G10845"
"AT3G11290",9567,0.39,"Myb/SANT-like DNA-binding domain protein(AT3G11290)","AT3G11290"
"AT3G11490",9944,0.39,"rac GTPase activating protein(AT3G11490)","AT3G11490"
"AT3G18130",9871,0.39,"receptor for activated C kinase 1C(RACK1C_AT)","RACK1C_AT"
"AT3G18790",9874,0.39,"pre-mRNA-splicing factor ISY1-like protein(AT3G18790)","AT3G18790"
"AT3G21320",9518,0.39,"EARLY FLOWERING protein(AT3G21320)","AT3G21320"
"AT3G47610",9844,0.39,"transcription regulator/ zinc ion binding protein(AT3G47610)","AT3G47610"
"AT3G47950",9845,0.39,"H[+]-ATPase 4(HA4)","HA4"
"AT3G51270",9557,0.39,"protein serine/threonine kinase(AT3G51270)","AT3G51270"
"AT3G52540",9944,0.39,"ovate family protein 18(OFP18)","OFP18"
"AT3G55750",9944,0.39,"Ribosomal protein L35Ae family protein(AT3G55750)","AT3G55750"
"AT3G56130",9944,0.39,"biotin/lipoyl attachment domain-containing protein(AT3G56130)","AT3G56130"
"AT4G06598",9522,0.39,"basic-leucine zipper (bZIP) transcription factor family protein(AT4G06598)","AT4G06598"
"AT4G15330",9855,0.39,"cytochrome P450, family 705, subfamily A, polypeptide 1(CYP705A1)","CYP705A1"
"AT4G16680",9531,0.39,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G16680)","AT4G16680"
"AT4G23870",9518,0.39,"hypothetical protein(AT4G23870)","AT4G23870"
"AT4G25210",9905,0.39,"DNA-binding storekeeper protein-related transcriptional regulator(AT4G25210)","AT4G25210"
"AT4G28040",9543,0.39,"nodulin MtN21 /EamA-like transporter family protein(UMAMIT33)","UMAMIT33"
"AT5G23350",9584,0.39,"GRAM domain protein/ABA-responsive-like protein(AT5G23350)","AT5G23350"
"AT5G23370",9587,0.39,"GRAM domain-containing protein / ABA-responsive protein-like protein(AT5G23370)","AT5G23370"
"AT5G39471",9533,0.39,"Cysteine/Histidine-rich C1 domain family protein(AT5G39471)","AT5G39471"
"AT5G43210",9587,0.39,"Excinuclease ABC, C subunit, N-terminal(AT5G43210)","AT5G43210"
"AT5G45660",9855,0.39,"adenine phosphoribosyltransferase(AT5G45660)","AT5G45660"
"AT5G52230",9560,0.39,"methyl-CPG-binding domain protein 13(MBD13)","MBD13"
"AT5G55300",9832,0.39,"DNA topoisomerase I alpha(TOP1ALPHA)","TOP1ALPHA"
"AT5G60840",9533,0.39,"hypothetical protein(AT5G60840)","AT5G60840"
"AT1G02280",9819,0.38,"translocon at the outer envelope membrane of chloroplasts 33(TOC33)","TOC33"
"AT1G05770",9855,0.38,"Mannose-binding lectin superfamily protein(AT1G05770)","AT1G05770"
"AT1G09770",9560,0.38,"cell division cycle 5(CDC5)","CDC5"
"AT1G12800",9547,0.38,"Nucleic acid-binding, OB-fold-like protein(AT1G12800)","AT1G12800"
"AT1G15870",9586,0.38,"Mitochondrial glycoprotein family protein(AT1G15870)","AT1G15870"
"AT1G16440",9522,0.38,"root hair specific 3(RSH3)","RSH3"
"AT1G18340",9550,0.38,"basal transcription factor complex subunit-like protein(AT1G18340)","AT1G18340"
"AT1G18830",9819,0.38,"Transducin/WD40 repeat-like superfamily protein(AT1G18830)","AT1G18830"
"AT1G19540",9855,0.38,"NmrA-like negative transcriptional regulator family protein(AT1G19540)","AT1G19540"
"AT1G19870",9844,0.38,"IQ-domain 32(iqd32)","iqd32"
"AT1G22275",9944,0.38,"Myosin heavy chain-related protein(ZYP1b)","ZYP1b"
"AT1G26330",9874,0.38,"DNA binding protein(AT1G26330)","AT1G26330"
"AT1G30690",9587,0.38,"Sec14p-like phosphatidylinositol transfer family protein(AT1G30690)","AT1G30690"
"AT1G33140",9586,0.38,"Ribosomal protein L6 family(PGY2)","PGY2"
"AT1G50750",9874,0.38,"aminotransferase-like, mobile domain protein(AT1G50750)","AT1G50750"
"AT1G73066",9588,0.38,"Leucine-rich repeat family protein(AT1G73066)","AT1G73066"
"AT1G76405",9533,0.38,"outer envelope pore 21B-like protein(AT1G76405)","AT1G76405"
"AT2G01930",8357,0.38,"basic pentacysteine1(BPC1)","BPC1"
"AT2G18850",6970,0.38,"SET domain-containing protein(AT2G18850)","AT2G18850"
"AT2G24630",9557,0.38,"Glycosyl transferase family 2 protein(ATCSLC08)","ATCSLC08"
"AT2G31540",9944,0.38,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT2G31540)","AT2G31540"
"AT2G34730",9871,0.38,"myosin heavy chain-like protein(AT2G34730)","AT2G34730"
"AT2G35035",9601,0.38,"urease accessory protein D(URED)","URED"
"AT2G36230",9524,0.38,"Aldolase-type TIM barrel family protein(APG10)","APG10"
"AT3G04410",9944,0.38,"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(AT3G04410)","AT3G04410"
"AT3G19002",9587,0.38,"ncRNA(AT3G19002)","AT3G19002"
"AT3G19040",9601,0.38,"histone acetyltransferase of the TAFII250 family 2(HAF2)","HAF2"
"AT3G21710",9531,0.38,"transmembrane protein(AT3G21710)","AT3G21710"
"AT3G25710",9524,0.38,"basic helix-loop-helix 32(BHLH32)","BHLH32"
"AT3G27530",9871,0.38,"golgin Putative 6(GC6)","GC6"
"AT3G47340",9880,0.38,"glutamine-dependent asparagine synthase 1(ASN1)","ASN1"
"AT3G49290",9844,0.38,"ABL interactor-like protein 2(ABIL2)","ABIL2"
"AT3G57000",9568,0.38,"nucleolar essential protein-like protein(AT3G57000)","AT3G57000"
"AT3G57720",9586,0.38,"Protein kinase superfamily protein(AT3G57720)","AT3G57720"
"AT3G58120",9598,0.38,"Basic-leucine zipper (bZIP) transcription factor family protein(BZIP61)","BZIP61"
"AT4G03230",9567,0.38,"G-type lectin S-receptor-like Serine/Threonine-kinase(AT4G03230)","AT4G03230"
"AT4G04700",9598,0.38,"calcium-dependent protein kinase 27(CPK27)","CPK27"
"AT4G05070",9846,0.38,"Wound-responsive family protein(AT4G05070)","AT4G05070"
"AT4G14920",9568,0.38,"Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein(AT4G14920)","AT4G14920"
"AT4G22320",9874,0.38,"golgin family A protein(AT4G22320)","AT4G22320"
"AT4G24430",9855,0.38,"Rhamnogalacturonate lyase family protein(AT4G24430)","AT4G24430"
"AT4G26600",6970,0.38,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G26600)","AT4G26600"
"AT4G26610",8357,0.38,"D6 protein kinase like 1(D6PKL1)","D6PKL1"
"AT4G37090",9880,0.38,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-2, 6-diaminopimelate ligase(AT4G37090)","AT4G37090"
"AT4G37483",9531,0.38,"hypothetical protein(AT4G37483)","AT4G37483"
"AT5G05435",9846,0.38,"ncRNA(AT5G05435)","AT5G05435"
"AT5G19530",9880,0.38,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(ACL5)","ACL5"
"AT5G39610",9598,0.38,"NAC domain containing protein 6(NAC6)","NAC6"
"AT5G41950",9855,0.38,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G41950)","AT5G41950"
"AT5G43840",9543,0.38,"heat shock transcription factor A6A(HSFA6A)","HSFA6A"
"AT5G50740",9586,0.38,"Heavy metal transport/detoxification superfamily protein(AT5G50740)","AT5G50740"
"AT5G59960",9905,0.38,"K-stimulated pyrophosphate-energized sodium pump protein(AT5G59960)","AT5G59960"
"AT5G60040",9526,0.38,"nuclear RNA polymerase C1(NRPC1)","NRPC1"
"AT1G10682",9526,0.37,"ncRNA(AT1G10682)","AT1G10682"
"AT1G18200",9874,0.37,"Rab GTPase-like A1I protein(RABA6b)","RABA6b"
"AT1G31860",9568,0.37,"histidine biosynthesis bifunctional protein (HISIE)(AT-IE)","AT-IE"
"AT1G45170",9846,0.37,"outer envelope pore 24B-like protein(AT1G45170)","AT1G45170"
"AT1G49390",9557,0.37,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G49390)","AT1G49390"
"AT1G52750",6970,0.37,"alpha/beta-Hydrolases superfamily protein(AT1G52750)","AT1G52750"
"AT1G61410",9874,0.37,"DNA double-strand break repair and VJ recombination XRCC4(AT1G61410)","AT1G61410"
"AT1G63640",6970,0.37,"P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein(AT1G63640)","AT1G63640"
"AT1G68560",9522,0.37,"alpha-xylosidase 1(XYL1)","XYL1"
"AT1G70030",9560,0.37,"Paired amphipathic helix (PAH2) superfamily protein(AT1G70030)","AT1G70030"
"AT1G72630",9547,0.37,"ELF4-like 2(ELF4-L2)","ELF4-L2"
"AT1G78860",9533,0.37,"D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein(AT1G78860)","AT1G78860"
"AT2G04840",9844,0.37,"F-box only protein (DUF295)(AT2G04840)","AT2G04840"
"AT2G14800",9550,0.37,"hypothetical protein(AT2G14800)","AT2G14800"
"AT2G22821",9593,0.37,"ncRNA(AT2G22821)","AT2G22821"
"AT2G27700",9825,0.37,"eukaryotic translation initiation factor 2 family protein / eIF-2 family protein(AT2G27700)","AT2G27700"
"AT2G31320",9568,0.37,"poly(ADP-ribose) polymerase 2(PARP1)","PARP1"
"AT2G33070",9531,0.37,"nitrile specifier protein 2(NSP2)","NSP2"
"AT2G34900",9533,0.37,"Transcription factor GTE6(IMB1)","IMB1"
"AT2G39460",9593,0.37,"ribosomal protein L23AA(RPL23AA)","RPL23AA"
"AT2G43865",9587,0.37,"hypothetical protein(AT2G43865)","AT2G43865"
"AT2G46780",9533,0.37,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT2G46780)","AT2G46780"
"AT3G02820",9586,0.37,"zinc knuckle (CCHC-type) family protein(AT3G02820)","AT3G02820"
"AT3G09500",9524,0.37,"Ribosomal L29 family protein(AT3G09500)","AT3G09500"
"AT3G10020",9819,0.37,"plant/protein(AT3G10020)","AT3G10020"
"AT3G12130",9845,0.37,"KH domain-containing protein / zinc finger (CCCH type) family protein(AT3G12130)","AT3G12130"
